time_s cwnd_bytes
0 0
1.20028 14480
1.60827 15928
1.61359 17376
1.61644 18824
1.62094 20272
1.62461 21720
1.62911 23168
1.63196 24616
1.63728 26064
1.64013 27512
1.64298 28960
1.81218 30408
1.81421 31856
1.8187 33304
1.82155 34752
1.82358 36200
1.82643 37648
1.8301 39096
1.83213 40544
1.83498 41992
1.83783 43440
1.8415 44888
1.84353 46336
1.84638 47784
1.8484 49232
1.8529 50680
1.85492 52128
1.85777 53576
1.8598 55024
1.86265 56472
1.86468 57920
2.01618 59368
2.01821 60816
2.02023 62264
2.02308 63712
2.02676 65160
2.02878 66608
2.03081 68056
2.03366 69504
2.03568 70952
2.03771 72400
2.03973 73848
2.04258 75296
2.04543 76744
2.04746 78192
2.04948 79640
2.05233 81088
2.05436 82536
2.05638 83984
2.05923 85432
2.06126 86880
2.06411 88328
2.06696 89776
2.06898 91224
2.07101 92672
2.07304 94120
2.07506 95568
2.07791 97016
2.07994 98464
2.08361 99912
2.08564 101360
2.08766 102808
2.08969 104256
2.09254 105704
2.09456 107152
2.09659 108600
2.09861 110048
2.10146 111496
2.10349 112944
2.10551 114392
2.10754 115840
2.23234 117288
2.23437 118736
2.23639 120184
2.23924 121632
2.24127 123080
2.24329 124528
2.24532 125976
2.24734 127424
2.25102 128872
2.53038 130320
2.70784 128448
2.70951 127371
2.71035 127056
2.71284 126742
2.7927 125971
2.79555 125516
2.7984 125060
2.80125 124604
2.80594 123769
2.80796 123313
2.81094 122825
2.81296 122369
2.81309 122336
2.8144 122021
2.81678 121566
2.81727 121392
2.82024 120763
2.82275 120133
2.82609 119504
2.82942 118875
2.83276 118245
2.83442 117931
2.83776 117301
2.84192 116672
2.84443 116042
2.84859 115413
2.85192 114784
2.85443 114154
2.85859 113525
2.8611 111408
2.86359 110408
2.86526 109408
2.8661 108408
2.86859 107408
2.87026 106408
2.8711 105408
2.87359 104408
2.87526 103408
2.8761 102408
2.8786 101408
2.88026 100408
2.88275 99408
2.8836 98408
2.88526 97408
2.88693 96408
2.88777 95408
2.89027 94408
2.89193 93408
2.89278 92408
2.89527 91408
2.89693 90408
2.89943 89776
2.90027 89408
2.90194 88408
2.90443 87408
2.90527 86408
2.90694 85408
2.90943 84408
2.91027 83408
2.91194 82408
2.91443 81408
2.9161 80408
2.91694 79408
2.91861 78408
2.9211 77408
2.92194 76408
2.92361 75408
2.9261 74408
2.92694 73408
2.92861 72408
2.9311 71408
2.93277 70408
2.93361 69408
2.9361 68408
2.93777 67408
2.93861 66408
2.94111 65408
2.94277 64408
2.94444 63408
2.94528 62408
2.94777 61408
2.94944 60408
2.95028 59408
2.95278 58408
2.95444 57408
2.95529 56408
2.95778 55408
2.95944 54408
2.96194 53408
2.96278 52408
2.96445 51408
2.96694 50408
2.96778 49408
2.96945 48408
2.97194 47408
2.97278 46408
2.97445 45408
2.97612 44408
2.97861 43408
2.97945 42408
2.98112 41408
2.98361 40408
2.98445 39408
2.98612 38408
2.98861 37408
2.98945 36408
2.99112 35408
2.99361 34408
2.99528 33408
2.9986 89776
2.9986 91224
3.57264 92672
3.57467 94120
3.57834 95568
3.58037 97016
3.58404 98464
3.58607 99912
3.58892 101360
3.59177 102808
3.59379 104256
3.60316 105704
3.65528 107152
3.71543 108600
3.87796 110048
3.92387 111496
3.98687 112944
4.14552 114392
4.20409 115840
4.27241 117288
4.33699 118736
4.50128 120184
4.6005 121632
4.75311 123080
4.87526 124528
5.04559 125976
5.20966 127424
5.47656 128872
