time_s cwnd_bytes
0 0
1.20028 14480
1.40703 15928
1.40952 17376
1.41368 18824
1.41535 20272
1.42033 21720
1.422 23168
1.42615 24616
1.42864 26064
1.4328 27512
1.60827 28960
1.61195 30408
1.6148 31856
1.61764 33304
1.61967 34752
1.62252 36200
1.62455 37648
1.62657 39096
1.62942 40544
1.63227 41992
1.63512 43440
1.63715 44888
1.63917 46336
1.64202 47784
1.64569 49232
1.64772 50680
1.64975 52128
1.6526 53576
1.65462 55024
1.81218 56472
1.81421 57920
1.81788 59368
1.81991 60816
1.82276 62264
1.82478 63712
1.82763 65160
1.82966 66608
1.83168 68056
1.83371 69504
1.83573 70952
1.83858 72400
1.84061 73848
1.84263 75296
1.84466 76744
1.84668 78192
1.84953 79640
1.85156 81088
1.85359 82536
1.85561 83984
1.85846 85432
1.86049 86880
1.86251 88328
1.86536 89776
1.86739 91224
1.86941 92672
1.87144 94120
1.87346 95568
1.87714 97016
1.87916 98464
1.88119 99912
1.88321 101360
1.88524 102808
1.88809 104256
1.89012 105704
1.89214 107152
1.89417 108600
1.89619 110048
2.02594 111496
2.02796 112944
2.02999 114392
2.03284 115840
2.03569 117288
2.03771 118736
2.03974 120184
2.04176 121632
2.04461 123080
2.04664 124528
2.04867 125976
2.05069 127424
2.05354 128872
2.05557 130320
2.05759 131768
2.05962 133216
2.06164 134664
2.06449 136112
2.06652 137560
2.06854 139008
2.07057 140456
2.0726 141904
2.07544 143352
2.07747 144800
2.0795 146248
2.08152 147696
2.08355 149144
2.0864 150592
2.08842 152040
2.09045 153488
2.09247 154936
2.0945 156384
2.09735 157832
2.09937 159280
2.1014 160728
2.10343 162176
2.10545 163624
2.1083 165072
2.11033 166520
2.11235 167968
2.11438 169416
2.1164 170864
2.11925 172312
2.12128 173760
2.1233 175208
2.12533 176656
2.12736 178104
2.1302 179552
2.13223 181000
2.13426 182448
2.13628 183896
2.13831 185344
2.14116 186792
2.14318 188240
2.14521 189688
2.14723 191136
2.14926 192584
2.15211 194032
2.15413 195480
2.15616 196928
2.15819 198376
2.16021 199824
2.16306 201272
2.16509 202720
2.16711 204168
2.16914 205616
2.17116 207064
2.17401 208512
2.17604 209960
2.17806 211408
2.18009 212856
2.18212 214304
2.18496 215752
2.18699 217200
2.18902 218648
2.19104 220096
2.2936 221544
2.29562 222992
2.29765 224440
2.29967 225888
2.30252 227336
2.30455 228784
2.30657 230232
2.3086 231680
2.31145 233128
2.31347 234576
2.3155 236024
2.31752 237472
2.31955 238920
2.3224 240368
2.32443 241816
2.32645 243264
2.32848 244712
2.3305 246160
2.33335 247608
2.33538 249056
2.3374 250504
2.33943 251952
2.34145 253400
2.3443 254848
2.34633 256296
2.34798 257744
2.34948 259192
2.35199 260640
2.35366 262088
2.35781 263536
2.35948 264984
2.36197 266432
2.36448 267880
2.36697 269328
2.36948 270776
2.37198 272224
2.37449 273672
2.37698 275120
2.37949 276568
2.38198 278016
2.38365 279464
2.38616 280912
2.38865 282360
2.39116 283808
2.39365 285256
2.39616 286704
2.39865 288152
2.40116 289600
2.40365 291048
2.40781 292496
2.40865 293944
2.41032 295392
2.41366 296840
2.41532 298288
2.41783 299736
2.42032 301184
2.42448 302632
2.42533 304080
2.42948 305528
2.43033 306976
2.432 308424
2.43533 309872
2.437 311320
2.44116 312768
2.442 314216
2.44616 315664
2.447 317112
2.45116 318560
2.452 320008
2.45367 321456
2.45783 322904
2.45867 324352
2.46283 325800
2.46367 327248
2.46783 328696
2.46867 330144
2.47283 331592
2.4745 333040
2.47783 334488
2.4795 335936
2.48034 337384
2.4845 338832
2.48699 340280
2.4895 341728
2.492 343176
2.49451 344624
2.497 346072
2.50368 128448
2.58034 127000
2.582 126455
2.58367 125939
2.58534 125424
2.587 124909
2.59034 123878
2.59201 123363
2.59534 122333
2.59701 121817
2.60117 120787
2.60201 120271
2.60617 119241
2.60868 118210
2.61117 117695
2.61368 116665
2.61617 116149
2.61868 115119
2.62117 114604
2.62368 113573
2.62617 113058
2.62868 112027
2.63118 111512
2.63451 110481
2.63535 109966
2.63951 108936
2.64036 108420
2.64451 107390
2.64536 106875
2.64952 105844
2.65201 105329
2.65452 104298
2.65701 103783
2.65952 102752
2.66201 102237
2.66452 101207
2.66619 100691
2.66952 99661
2.67119 99146
2.67452 98115
2.67619 97600
2.67952 96569
2.68119 96054
2.68535 95023
2.68619 94508
2.69035 93478
2.6912 91408
2.69286 90408
2.69535 89408
2.6962 88408
2.69786 87408
2.70036 86408
2.70202 85408
2.70287 84408
2.70536 83408
2.70702 82408
2.70787 81408
2.71036 80408
2.71203 79408
2.71452 78408
2.71536 77408
2.71703 76408
2.71952 75408
2.72036 74408
2.72203 73408
2.7237 72408
2.72454 71408
2.72703 70408
2.7287 69408
2.73119 68408
2.73203 67408
2.7337 66408
2.73619 65408
2.73703 64408
2.7387 63500
2.74119 63408
2.74204 62408
2.7437 61408
2.74619 60408
2.74786 59408
2.7487 58408
2.75037 57408
2.75286 56408
2.75371 55408
2.75537 54408
2.75786 53408
2.75871 52408
2.76037 51408
2.76287 50408
2.76453 49408
2.76538 48408
2.76787 47408
2.76953 46408
2.77038 45408
2.77287 44408
2.77454 43408
2.77538 42408
2.77787 41408
2.77954 40408
2.7812 39408
2.78205 38408
2.78454 37408
2.78621 36408
2.78705 35408
2.78954 34408
2.79121 33408
2.79452 63500
2.79452 63533
3.081 63566
3.08434 63598
3.086 63630
3.09016 63662
3.09101 63694
3.09516 63726
